csv_file,source,local_source_path,source_url,source_status,description
aer94_figure1_output_per_employee.csv,"Digitized from Griliches (1994), AER, Figure 1",Data/ZG/aer94fig1[a-c].dat,https://www.jstor.org/stable/2117968,digitized,"Real output per employee for measurable sectors, unmeasurable sectors, and total economy. Digitized y-values retain the existing repository scale; check against the original figure before presenting dollar magnitudes."
aer94_figure2_rd_sales_tfp_growth.csv,"Digitized from Griliches (1994), AER, Figure 2",Data/ZG/aer94fig2.dat,https://www.jstor.org/stable/2117968,digitized,R&D-sales ratio in 1984 versus TFP growth over 1978-1989.
aer94_figure4_patent_productivity.csv,"Digitized from Griliches (1994), AER, Figure 4",Data/ZG/aer94fig4[a-b].dat,https://www.jstor.org/stable/2117968,digitized,Patents per R&D dollar and patents per scientist/engineer.
bls_tfp_major_sectors_historical_machine_readable.csv,BLS historical total factor productivity major sectors workbook,References/Griliches/total-factor-productivity-major-sectors-historical.xlsx,https://www.bls.gov/productivity/tables/total-factor-productivity-major-sectors-historical.xlsx,original_workbook_converted,MachineReadable sheet converted to CSV.
bls_labor_productivity_major_sectors_machine_readable.csv,BLS labor productivity major sectors workbook,References/Griliches/labor-productivity-major-sectors.xlsx,https://www.bls.gov/productivity/tables/labor-productivity-major-sectors.xlsx,original_workbook_converted,MachineReadable sheet converted to CSV.
bls_major_industry_tfp_klems_machine_readable.csv,BLS major industry total factor productivity KLEMS workbook,References/Griliches/major-industry-total-factor-productivity-klems.xlsx,https://www.bls.gov/productivity/tables/major-industry-total-factor-productivity-KLEMS.xlsx,original_workbook_converted,MachineReadable sheet converted to CSV.
bls_employees_goods_producing_monthly.csv,BLS Current Employment Statistics workbook,References/Griliches/Employees_GoodsProducing.xlsx,https://www.bls.gov/ces/,original_workbook_converted,Monthly goods-producing employment.
bls_employees_private_service_producing_monthly.csv,BLS Current Employment Statistics workbook,References/Griliches/Employees_PrivateServiceProducing.xlsx,https://www.bls.gov/ces/,original_workbook_converted,Monthly private service-producing employment.
bls_employees_government_monthly.csv,BLS Current Employment Statistics workbook,References/Griliches/Employees_Government.xlsx,https://www.bls.gov/ces/,original_workbook_converted,Monthly government employment.
bls_employees_total_private_monthly.csv,BLS Current Employment Statistics workbook,References/Griliches/EmployeesTotalPrivate.xlsx,https://www.bls.gov/ces/,original_workbook_converted,Monthly total private employment.
